epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5022,1.12848,1.81477,1.42247,0.48581,0.51068,0.452,0.20209,1.79055,2.90644,2.08987,0.0006625,0.0006625,0.0006625
2,96.4218,1.1804,1.1486,1.45817,0.2319,0.22776,0.16533,0.07217,2.2432,7.04509,2.4758,0.00131601,0.00131601,0.00131601
3,144.175,1.19321,1.12886,1.46713,0.566,0.46797,0.49954,0.25143,1.87508,2.14753,2.1363,0.00195632,0.00195632,0.00195632
4,191.661,1.11283,1.00094,1.40598,0.80603,0.64235,0.72267,0.45194,1.45691,1.28766,1.71318,0.0019406,0.0019406,0.0019406
5,239.162,1.06691,0.9272,1.37309,0.76093,0.73488,0.77206,0.48091,1.24025,1.24862,1.54,0.0019208,0.0019208,0.0019208
6,286.653,1.02074,0.87675,1.34059,0.83658,0.72954,0.82612,0.5188,1.33019,1.02501,1.60261,0.001901,0.001901,0.001901
7,334.158,1.00434,0.85449,1.3337,0.86364,0.76335,0.84048,0.56875,1.16978,0.93127,1.47762,0.0018812,0.0018812,0.0018812
8,381.628,0.9826,0.82738,1.30644,0.87966,0.73132,0.83727,0.54605,1.23616,0.95003,1.49175,0.0018614,0.0018614,0.0018614
9,429.12,0.95193,0.79639,1.28918,0.86124,0.77224,0.83281,0.55863,1.16498,0.89145,1.43995,0.0018416,0.0018416,0.0018416
10,476.592,0.9155,0.74215,1.26159,0.86092,0.79307,0.85069,0.56845,1.16652,0.87533,1.43173,0.0018218,0.0018218,0.0018218
11,524.132,0.90121,0.73018,1.2536,0.88002,0.75697,0.82794,0.58885,1.10552,0.87339,1.37274,0.001802,0.001802,0.001802
12,571.626,0.90879,0.73126,1.25079,0.884,0.80004,0.87129,0.58836,1.11357,0.79744,1.37595,0.0017822,0.0017822,0.0017822
13,619.121,0.88005,0.71418,1.24105,0.85852,0.75623,0.82326,0.56909,1.10938,0.88056,1.38799,0.0017624,0.0017624,0.0017624
14,666.594,0.88818,0.71375,1.23923,0.85103,0.81673,0.87464,0.60168,1.10818,0.77367,1.36345,0.0017426,0.0017426,0.0017426
15,714.021,0.87115,0.68798,1.2326,0.88644,0.80783,0.86995,0.61749,1.05752,0.75217,1.3443,0.0017228,0.0017228,0.0017228
16,761.449,0.8556,0.66444,1.21869,0.87176,0.82562,0.86535,0.61988,1.05743,0.75204,1.32778,0.001703,0.001703,0.001703
17,808.905,0.85478,0.64721,1.21802,0.89108,0.82206,0.89305,0.64559,1.02528,0.72279,1.29511,0.0016832,0.0016832,0.0016832
18,856.43,0.85409,0.67337,1.21943,0.90628,0.80874,0.88185,0.63718,1.01297,0.71508,1.28919,0.0016634,0.0016634,0.0016634
19,903.895,0.82991,0.64539,1.20287,0.86482,0.85587,0.8984,0.64404,1.01357,0.70585,1.2775,0.0016436,0.0016436,0.0016436
20,951.302,0.83504,0.64781,1.20399,0.86764,0.80483,0.84925,0.60363,1.08778,0.81886,1.39796,0.0016238,0.0016238,0.0016238
21,998.799,0.83904,0.64114,1.20157,0.87624,0.79359,0.85637,0.62076,1.0247,0.77279,1.32205,0.001604,0.001604,0.001604
22,1046.24,0.81994,0.61698,1.19414,0.895,0.83096,0.89722,0.6436,1.0112,0.70726,1.28307,0.0015842,0.0015842,0.0015842
23,1093.66,0.82706,0.63425,1.19382,0.89104,0.8274,0.89181,0.66006,0.98229,0.6923,1.27017,0.0015644,0.0015644,0.0015644
24,1141.16,0.81796,0.62107,1.18969,0.895,0.83096,0.89194,0.64815,1.00624,0.67452,1.26774,0.0015446,0.0015446,0.0015446
25,1188.62,0.79583,0.60407,1.17595,0.91199,0.81495,0.88022,0.65335,0.98667,0.70257,1.28179,0.0015248,0.0015248,0.0015248
26,1236,0.78521,0.58448,1.16958,0.89867,0.85409,0.90533,0.66521,0.98265,0.66694,1.26317,0.001505,0.001505,0.001505
27,1283.47,0.7975,0.60308,1.17555,0.88264,0.83986,0.89047,0.66114,0.98152,0.67539,1.28315,0.0014852,0.0014852,0.0014852
28,1330.96,0.79093,0.59039,1.16689,0.90974,0.84292,0.89401,0.66572,0.98537,0.66858,1.26914,0.0014654,0.0014654,0.0014654
29,1378.46,0.78854,0.5939,1.17169,0.91496,0.82918,0.89975,0.66397,0.96373,0.66783,1.25758,0.0014456,0.0014456,0.0014456
30,1425.9,0.77793,0.57699,1.16553,0.91534,0.84342,0.89722,0.65978,0.97384,0.66115,1.26539,0.0014258,0.0014258,0.0014258
31,1473.44,0.79041,0.58685,1.16677,0.88971,0.86125,0.90664,0.66958,0.96536,0.63948,1.24246,0.001406,0.001406,0.001406
32,1520.89,0.77142,0.58161,1.15907,0.91693,0.83096,0.90805,0.6774,0.94377,0.60733,1.21897,0.0013862,0.0013862,0.0013862
33,1568.38,0.75803,0.55819,1.15544,0.88395,0.82562,0.89043,0.66372,0.96614,0.67455,1.24206,0.0013664,0.0013664,0.0013664
34,1615.82,0.76555,0.55366,1.1559,0.91646,0.85409,0.90584,0.68305,0.95932,0.64598,1.23852,0.0013466,0.0013466,0.0013466
35,1663.24,0.75999,0.53793,1.14684,0.90272,0.85861,0.90515,0.67162,0.95944,0.65287,1.23015,0.0013268,0.0013268,0.0013268
36,1710.69,0.75109,0.53261,1.14415,0.92938,0.83274,0.9025,0.68347,0.93403,0.60861,1.22728,0.001307,0.001307,0.001307
37,1758.21,0.74899,0.55062,1.15129,0.9164,0.86121,0.90723,0.67636,0.95987,0.61866,1.23729,0.0012872,0.0012872,0.0012872
38,1805.72,0.7316,0.52379,1.13677,0.88833,0.86342,0.90211,0.67665,0.96817,0.64493,1.25287,0.0012674,0.0012674,0.0012674
39,1853.15,0.74111,0.53444,1.14078,0.92742,0.84123,0.91451,0.68466,0.93288,0.64263,1.20234,0.0012476,0.0012476,0.0012476
40,1900.63,0.74441,0.53834,1.15008,0.91059,0.85172,0.90884,0.67709,0.94799,0.63095,1.23078,0.0012278,0.0012278,0.0012278
41,1948.16,0.73053,0.52968,1.13625,0.90823,0.88047,0.91918,0.69408,0.90803,0.5978,1.18291,0.001208,0.001208,0.001208
